"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","doctor_recc_seasonal","chronic_med_condition","child_under_6_months","health_worker","health_insurance","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","opinion_seas_vacc_effective","opinion_seas_risk","opinion_seas_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","hhs_geo_region","census_msa","household_adults","household_children","employment_industry","employment_occupation","h1n1_vaccine","seasonal_vaccine"
"7944",2,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",4,2,4,4,4,2,"35-44","Grad","White","Male","<=75K","Married","Rent","Emp","A","Principle",1,2,"l","b",FALSE,TRUE
"7945",0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,1,1,4,4,2,"18-34","12 Yrs","White","Male","<=75K","Not Married","Rent","Emp","J","Principle",1,0,"f","h",FALSE,FALSE
"7946",3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",5,3,1,5,3,1,"65+","Grad","White","Female","<=75K","Not Married","Own","~Labor","G","Not Principle",0,0,"","",TRUE,TRUE
"7948",0,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",2,3,1,4,3,1,"35-44","12 Yrs","White","Female","<=75K","Married","Rent","~Labor","H","Principle",1,3,"","",TRUE,TRUE
"7950",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,1,1,5,4,2,"65+","12 Yrs","White","Female","<=75K","Married","Own","~Labor","B","Non",1,0,"","",FALSE,FALSE
"7955",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",3,2,1,4,2,1,"65+","Grad","White","Male","","Married","","Emp","F","Principle",1,0,"","",FALSE,TRUE
"7960",3,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"1",2,1,5,3,2,2,"18-34","College","White","Female","","Not Married","Rent","Emp","I","Not Principle",0,0,"b","u",FALSE,TRUE
"7961",1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"1",2,1,2,2,1,2,"55-64","College","White","Male","<=75K","Married","Rent","Emp","D","Not Principle",1,0,"j","r",FALSE,FALSE
"7963",0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",2,1,1,5,4,4,"55-64","12 Yrs","White","Male","<=75K","Married","Own","~Labor","G","Non",2,0,"","",FALSE,TRUE
"7967",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,1,4,2,2,"35-44","Grad","White","Female",">75K","Not Married","Own","Emp","C","Not Principle",1,0,"l","f",FALSE,FALSE
"7968",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",1,1,2,2,1,1,"35-44","College","Black","Female",">75K","Married","Own","Emp","G","Not Principle",2,1,"k","j",FALSE,FALSE
"7969",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"1",4,4,2,2,4,2,"35-44","College","Black","Female","<=75K","Not Married","Rent","Emp","C","Principle",1,2,"i","i",FALSE,FALSE
"7970",1,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",2,1,4,2,1,4,"45-54","College","White","Female",">75K","Married","Own","Emp","A","Non",1,0,"l","i",FALSE,FALSE
"7972",2,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"1",3,4,4,4,2,2,"55-64","College","Other","Female","<=75K","Married","Own","Emp","F","Not Principle",1,0,"f","l",FALSE,TRUE
"7973",2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",4,4,2,1,4,1,"35-44","Grad","Black","Female","<=75K","Not Married","Rent","Emp","G","Principle",0,0,"g","b",FALSE,TRUE
"7976",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",2,2,4,5,2,1,"18-34","College","White","Female","<=75K","Married","Own","~Labor","E","Principle",1,3,"","",FALSE,FALSE
"7983",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,2,2,4,2,2,"65+","Grad","Black","Male","<=75K","Married","Own","~Labor","F","Not Principle",1,1,"","",FALSE,FALSE
"7984",2,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"1",4,4,2,5,5,2,"45-54","12 Yrs","White","Female",">75K","Married","Own","Emp","E","Non",1,0,"i","i",TRUE,TRUE
"7991",1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",2,1,1,2,2,1,"65+","<12 Yrs","White","Female","Below Poverty","Not Married","Own","~Labor","H","Not Principle",0,0,"","",FALSE,FALSE
"7994",1,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"0",5,5,2,5,5,2,"18-34","College","Black","Female","Below Poverty","Not Married","Rent","Emp","F","Non",0,2,"b","a",TRUE,TRUE
"7996",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,2,4,1,1,"45-54","Grad","White","Male",">75K","Not Married","Own","Emp","H","Not Principle",1,0,"e","b",TRUE,FALSE
"7997",2,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1",5,4,2,5,2,1,"65+","College","White","Female","<=75K","Married","Own","~Labor","F","Non",1,0,"","",TRUE,FALSE
"7998",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,4,4,2,4,"18-34","12 Yrs","White","Male","<=75K","Married","Own","Emp","G","Not Principle",3,1,"j","r",FALSE,FALSE
"8000",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,4,4,4,4,4,"45-54","College","White","Male",">75K","Married","Own","Emp","D","Principle",1,1,"d","a",TRUE,TRUE
"8002",2,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"1",1,2,2,4,2,4,"18-34","12 Yrs","Hispanic","Male","<=75K","Married","Own","Emp","J","Not Principle",1,3,"l","e",FALSE,TRUE
"8003",3,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"1",3,3,1,2,1,1,"35-44","Grad","White","Female","<=75K","Not Married","Rent","Emp","C","Non",0,3,"b","b",FALSE,FALSE
"8008",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,2,2,5,4,4,"45-54","Grad","White","Male",">75K","Married","Own","Emp","G","Principle",1,1,"r","l",FALSE,FALSE
"8011",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,1,4,2,1,"35-44","College","White","Male",">75K","Married","Own","Emp","B","Principle",1,1,"f","l",FALSE,FALSE
"8012",3,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",4,2,1,5,4,1,"65+","<12 Yrs","White","Female","Below Poverty","Not Married","Own","~Labor","F","Non",0,0,"","",FALSE,TRUE
"8014",3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"1",3,4,4,5,4,4,"55-64","12 Yrs","Black","Male","Below Poverty","Married","Own","~Labor","G","Not Principle",1,0,"","",FALSE,FALSE
"8015",1,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"1",5,2,2,5,2,2,"55-64","Grad","White","Male","","Married","Own","Emp","A","Not Principle",1,0,"i","m",TRUE,TRUE
"8017",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",2,2,2,5,4,1,"55-64","12 Yrs","White","Female","Below Poverty","Not Married","Own","~Labor","G","Non",0,0,"","",FALSE,TRUE
"8020",3,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",5,4,5,5,5,1,"65+","College","Black","Female","Below Poverty","Not Married","Own","~Labor","F","Principle",1,2,"","",FALSE,TRUE
"8022",2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",5,4,1,5,2,1,"65+","12 Yrs","White","Female","<=75K","Not Married","Own","~Labor","F","Not Principle",0,0,"","",TRUE,TRUE
"8024",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"1",4,1,5,4,1,4,"45-54","Grad","White","Female",">75K","Married","Own","Emp","G","Non",1,3,"i","m",FALSE,FALSE
"8025",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,1,4,4,1,4,"45-54","Grad","White","Female","<=75K","Not Married","Rent","unEmp","B","Principle",0,0,"","",FALSE,FALSE
"8028",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"1",5,1,1,4,2,1,"65+","Grad","White","Male",">75K","Married","Own","~Labor","H","Not Principle",1,0,"","",TRUE,TRUE
"8029",0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",2,1,1,4,1,1,"35-44","12 Yrs","White","Male","","Married","","Emp","G","Not Principle",1,2,"a","a",FALSE,FALSE
"8030",3,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",3,4,1,5,5,1,"35-44","12 Yrs","White","Female","<=75K","Married","Own","Emp","F","Non",1,1,"a","a",TRUE,TRUE
"8031",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",4,3,3,4,3,3,"55-64","<12 Yrs","Other","Male","","Married","Rent","unEmp","D","Principle",2,0,"","",TRUE,TRUE
"8035",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,2,2,5,2,2,"55-64","12 Yrs","White","Female","<=75K","","Own","Emp","E","Non",0,0,"i","n",FALSE,TRUE
"8037",3,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"1",5,1,4,5,1,1,"45-54","Grad","Black","Male","<=75K","Married","Rent","~Labor","G","Principle",1,0,"","",TRUE,FALSE
"8039",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,2,5,2,1,"65+","12 Yrs","White","Female","","Not Married","Own","~Labor","I","Not Principle",0,0,"","",FALSE,FALSE
"8040",2,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,1,1,4,1,1,"35-44","12 Yrs","White","Male","<=75K","Not Married","Rent","Emp","G","Not Principle",1,0,"e","g",FALSE,FALSE
"8042",0,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",3,1,1,5,4,1,"65+","<12 Yrs","White","Male","<=75K","Not Married","Own","~Labor","D","Not Principle",0,0,"","",FALSE,TRUE
"8043",1,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,1,4,2,1,"45-54","College","White","Male","<=75K","Not Married","Rent","Emp","G","Non",0,0,"m","u",TRUE,FALSE
"8044",3,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"0",4,2,4,4,4,4,"35-44","College","Other","Female","Below Poverty","Married","Own","Emp","A","Not Principle",1,3,"l","b",FALSE,FALSE
"8045",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,4,2,5,4,2,"55-64","Grad","Hispanic","Male","<=75K","Not Married","Own","Emp","B","Not Principle",0,0,"c","b",FALSE,TRUE
"8047",2,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",5,4,2,5,5,4,"18-34","Grad","White","Male","<=75K","Not Married","Rent","Emp","C","Not Principle",1,0,"d","b",FALSE,TRUE
"8051",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",3,3,4,3,3,1,"65+","Grad","White","Male",">75K","Married","Own","~Labor","H","Not Principle",2,0,"","",TRUE,TRUE
"8053",1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1",4,4,1,4,4,2,"18-34","College","White","Female","Below Poverty","Not Married","Own","Emp","B","Non",1,0,"i","c",FALSE,FALSE
"8055",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",4,1,2,5,2,1,"55-64","Grad","White","Male",">75K","Married","Own","Emp","E","Not Principle",1,0,"p","a",FALSE,FALSE
"8056",1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1",4,2,1,4,4,1,"55-64","Grad","White","Female","<=75K","Married","","Emp","H","Principle",1,0,"i","m",TRUE,TRUE
"8057",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,2,5,4,2,"55-64","Grad","White","Male",">75K","Married","Own","Emp","C","Principle",1,0,"k","j",FALSE,FALSE
"8059",0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",3,1,1,4,1,1,"55-64","College","Hispanic","Male","<=75K","Not Married","Rent","Emp","A","Non",0,0,"e","b",FALSE,FALSE
"8060",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",3,2,4,2,2,2,"18-34","12 Yrs","White","Female","<=75K","Married","Rent","~Labor","J","Non",1,1,"","",FALSE,FALSE
"8063",1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",2,2,4,2,2,2,"35-44","Grad","White","Female",">75K","Married","Own","~Labor","I","Not Principle",1,2,"","",FALSE,FALSE
"8064",2,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",5,4,1,5,4,1,"55-64","Grad","White","Female","<=75K","Married","Own","~Labor","G","Not Principle",1,0,"","",FALSE,TRUE
"8065",2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",2,2,2,4,2,2,"35-44","Grad","White","Male","<=75K","Married","Own","Emp","B","Not Principle",1,1,"c","k",FALSE,FALSE
"8067",2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"1",4,2,4,4,2,2,"18-34","College","White","Female","<=75K","Not Married","Rent","Emp","G","Not Principle",0,0,"i","n",FALSE,TRUE
"8069",0,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",1,1,1,1,1,1,"65+","Grad","White","Female",">75K","Not Married","Rent","~Labor","J","Not Principle",0,0,"","",FALSE,FALSE
"8070",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"1",3,1,1,5,4,5,"65+","College","White","Female","<=75K","Not Married","Own","~Labor","C","Principle",0,0,"","",FALSE,TRUE
"8072",0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",3,1,1,3,2,1,"18-34","Grad","White","Male","<=75K","Not Married","Rent","Emp","A","Principle",1,0,"f","p",FALSE,FALSE
"8075",3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",3,3,5,3,5,5,"35-44","College","White","Female","<=75K","Married","Own","~Labor","F","Non",1,2,"","",FALSE,FALSE
"8076",0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",3,1,2,3,1,1,"45-54","College","White","Male","<=75K","Not Married","Own","Emp","D","Principle",0,0,"h","b",FALSE,FALSE
"8077",1,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",4,2,1,4,2,1,"65+","Grad","White","Male",">75K","Not Married","Own","Emp","J","Principle",0,0,"u","w",FALSE,TRUE
"8080",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"1",4,2,2,4,4,4,"65+","12 Yrs","White","Female","<=75K","Married","Own","~Labor","F","Non",2,0,"","",FALSE,TRUE
"8082",1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",5,4,2,4,4,2,"55-64","Grad","White","Male",">75K","Married","Own","Emp","D","Not Principle",1,0,"q","b",TRUE,FALSE
"8083",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,1,1,1,1,"18-34","College","White","Male","<=75K","Not Married","Own","Emp","F","Not Principle",3,1,"a","u",FALSE,FALSE
"8084",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"1",4,2,2,4,2,2,"65+","College","White","Female","<=75K","Married","Own","Emp","D","Non",1,0,"i","i",FALSE,TRUE
"8086",3,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,2,5,4,2,5,"18-34","12 Yrs","Black","Male","","Not Married","Rent","Emp","J","Principle",1,0,"a","a",FALSE,FALSE
"8087",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,4,4,4,4,2,"18-34","Grad","White","Female","<=75K","Not Married","Own","Emp","C","Not Principle",0,0,"c","c",FALSE,FALSE
"8089",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,2,4,2,1,"55-64","College","White","Female","<=75K","Married","Own","Emp","H","Not Principle",1,0,"b","b",FALSE,FALSE
"8092",2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",5,2,2,5,4,2,"65+","12 Yrs","White","Female","<=75K","Married","Own","~Labor","C","Not Principle",1,0,"","",FALSE,TRUE
"8093",0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,1,4,4,2,"18-34","College","White","Female","Below Poverty","Not Married","Rent","~Labor","G","Principle",2,0,"","",FALSE,TRUE
"8094",1,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",4,2,2,4,2,1,"55-64","College","White","Male","<=75K","Married","Own","unEmp","C","Not Principle",1,0,"","",FALSE,TRUE
"8097",2,2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",5,1,2,5,4,2,"65+","College","White","Male","<=75K","Not Married","Own","~Labor","A","Not Principle",0,0,"","",FALSE,TRUE
"8098",0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",3,1,1,4,3,1,"65+","College","White","Female","<=75K","Not Married","Rent","~Labor","F","Non",0,0,"","",FALSE,TRUE
"8103",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",4,2,2,5,2,4,"65+","","White","Female",">75K","Married","Own","~Labor","I","Principle",1,0,"","",TRUE,TRUE
"8104",0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,1,4,1,5,"45-54","College","White","Female","<=75K","Married","Rent","Emp","I","Not Principle",2,0,"a","a",FALSE,FALSE
"8105",1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"1",5,1,1,4,1,1,"55-64","College","White","Male","<=75K","Married","Own","Emp","H","Not Principle",1,0,"s","j",FALSE,FALSE
"8106",2,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",2,4,4,1,2,2,"18-34","Grad","Black","Female","<=75K","Not Married","Own","Emp","G","Principle",0,0,"c","c",TRUE,TRUE
"8107",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",4,4,4,4,4,2,"55-64","College","White","Female",">75K","Not Married","Own","Emp","J","Non",0,0,"k","j",TRUE,TRUE
"8108",2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",5,4,2,5,4,4,"65+","12 Yrs","White","Female","Below Poverty","Married","Own","~Labor","F","Not Principle",1,0,"","",FALSE,TRUE
"8109",1,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",4,2,2,5,2,1,"55-64","Grad","White","Female",">75K","Not Married","Rent","Emp","I","Principle",1,0,"c","c",TRUE,FALSE
"8112",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"1",4,1,2,2,2,1,"45-54","Grad","White","Male",">75K","Married","Own","Emp","C","Not Principle",2,0,"p","o",FALSE,FALSE
"8113",1,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",3,1,2,1,1,4,"35-44","Grad","Hispanic","Female",">75K","Married","Own","Emp","I","Not Principle",1,2,"f","l",FALSE,FALSE
"8115",3,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",4,4,4,4,5,4,"55-64","<12 Yrs","Hispanic","Female","<=75K","Not Married","Rent","~Labor","I","Principle",1,1,"","",FALSE,FALSE
"8116",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"1",4,5,4,5,5,1,"35-44","Grad","White","Female",">75K","Married","Own","Emp","C","Not Principle",1,2,"i","m",TRUE,TRUE
"8117",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"0",4,2,1,4,1,1,"18-34","12 Yrs","White","Female","","Not Married","Own","unEmp","J","Non",3,0,"","",FALSE,FALSE
"8119",2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,4,2,4,4,2,"45-54","12 Yrs","White","Male","<=75K","Married","Own","Emp","F","Non",1,0,"a","a",FALSE,FALSE
"8120",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,2,4,1,4,5,"45-54","<12 Yrs","Other","Male","<=75K","Not Married","Own","unEmp","A","Non",1,0,"","",FALSE,FALSE
"8125",0,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"0",4,2,1,4,2,1,"18-34","Grad","White","Female","Below Poverty","Not Married","Rent","Emp","A","Not Principle",1,2,"b","s",FALSE,FALSE
"8126",3,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",5,4,4,5,5,4,"18-34","College","White","Female","<=75K","Not Married","Rent","Emp","C","Non",1,2,"a","m",FALSE,TRUE
"8128",3,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,3,2,5,3,2,"45-54","College","Other","Female","<=75K","Married","Own","~Labor","H","Not Principle",3,0,"","",TRUE,TRUE
"8129",1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,2,2,5,4,1,"55-64","Grad","White","Female","<=75K","Married","Own","~Labor","F","Non",1,0,"","",FALSE,TRUE
"8131",1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",5,2,2,5,2,1,"45-54","<12 Yrs","White","Male","<=75K","Not Married","Own","Emp","D","Principle",1,0,"a","a",FALSE,FALSE
"8132",0,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",1,3,2,2,2,1,"45-54","12 Yrs","White","Male","<=75K","Married","Own","Emp","E","Principle",1,0,"e","g",FALSE,FALSE
